row_id	objects_laws	level	hypotheses_conditioning	transformation	law_parameters	raw_geometry_after_transform	combinatorics	euclidean_features	signed_symplectic_features	absolute_symplectic_features	normalized_product_features	matrix_identity	proof_status	proof_source	arithmetic	executable_control_status	executable_control	collapse_scope
angles-iid-dirichlet1-marginal	unordered n IID Uniform[0,2pi) angles versus Dirichlet(1^n) cyclic gaps plus a uniform common rotation and a uniformly marked cyclic root	component_marginal	n>=3; compare the angle proposal only; impose the same angle-only boundedness condition max cyclic gap<pi if conditioning; do not include support-dependent irredundancy/acceptance	sort cyclically, quotient/add the common rotation, and convert consecutive differences to gaps	zero	zero	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	proved_standard_order_statistics_with_local_bijection_control	experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: random_angles and dirichlet | experiments/sys-datascience/methods/alternative-generator-smoke/README.md: boundedness and acceptance boundary	exact rational simplex/rotation witness; probability identity is analytic	pass	pass: rational cyclic-gap roundtrip and matched max-gap predicate	collapse only the pre-support angle-proposal marginal
iid-support-baseline-vs-equal-support-dirichlet1	current IID-angle IID-support baseline versus equal-support Dirichlet alpha=1 generator	not_equivalent	baseline supports are IID Uniform[0.8,1.2); Dirichlet arm supports equal 1; each arm then applies its own all-facets-active and area-normalization acceptance	angle-marginal coupling from the previous row; no transformation identifies the support marks or support-dependent accepted full laws	nonzero	nonzero	zero	nonzero	not_applicable	not_applicable	nonzero	not_applicable	proved_by_support_mark_counterexample	experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: baseline, equal_support, dirichlet, make_pair | experiments/sys-datascience/methods/alternative-generator-smoke/README.md: law and normalization declarations	exact rational support-mark negative control	negative_control_pass	negative_control_pass: 4/5 and 6/5 marks cannot equal all-one marks	never collapse the full generator arms
tangential-to-same-angle-inscribed-polar	equal-support tangential polygon T={x:<n_i,x><=1} and same marked-origin inscribed polygon I=conv{n_i}	paired_pushforward	unit normal rays in cyclic order, 0 in the interior, irredundant facets, and the origin retained as the polarity mark	I=T^circ; normalized halfspace rows n_i are the polar vertices	zero	zero	zero	nonzero	not_applicable	not_applicable	not_applicable	not_applicable	proved_convex_polarity	thesis/02-preliminaries-polytope-input-language.tex | crates/euclidean-polytopes/tests/polar_vertices.rs: exact polarity soundness/roundtrip tests | experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: tangentialize and inscribed formulas	exact rational unit-normal fixture	pass	pass: exact halfspace vertices, active facets, and polar support equalities	collapse only when polarity and the marked origin are explicit
area-normalized-polar-scale-correction	independently area-normalized tangential T and same-angle inscribed I=T^circ	paired_pushforward	same hypotheses as tangential polar row; A_T,A_I>0; each factor normalized to area one independently	I_norm=(A_T A_I)^(-1/2) (T_norm)^circ; the uncorrected normalized bodies are generally not literal polars	zero	zero	zero	nonzero	not_applicable	not_applicable	nonzero	not_applicable	proved_by_polar_scaling_identity	experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: area_normalize, tangentialize, inscribed | thesis/02-preliminaries-polytope-input-language.tex	exact symbolic square of the homothety factor from rational areas	pass	pass: exact A_T, A_I and squared correction (A_T A_I)^-1	collapse after recording the polarity scale; do not claim literal normalized polarity
double-polarity-marked-origin	a marked-origin irredundant rational polygon T and (T^circ)^circ	paired_pushforward	closed convex polygon with 0 in its interior; preserve the same origin mark	apply polarity twice	zero	zero	zero	zero	not_applicable	not_applicable	zero	not_applicable	proved_bipolar_theorem_exact_fixture_control	crates/euclidean-polytopes/tests/polar_vertices.rs: exact polarity roundtrip tests | crates/euclidean-polytopes/DEVELOPMENT.md: exact polarity roundtrip contract	exact rational	pass	pass: every original supporting row is recovered as an extreme polar vertex on the fixture	collapse double-polar arms with the same origin mark
independent-positive-factor-scalings	product QxP and (aQ)x(bP), a,b>0	pointwise_orbit	positive scales; product coordinates ordered (q1,q2,p1,p2)	diag(a I2,b I2); conformally symplectic multiplier ab; factor areas scale a^2,b^2 and 4-volume scales a^2 b^2	not_applicable	zero	zero	nonzero	nonzero	nonzero	zero	zero	proved_algebraic_target_free_orbit	experiments/sys-datascience/methods/ridge-endpoint-path/notes/endpoint-predictions.md: factor-scale gauge | experiments/sys-datascience/methods/generator-orbit-perturbation-zoo/README.md: transformation contracts	exact rational	pass	pass: A^T J A=ab J, determinant=a^2b^2, normalized area/volume ratios	collapse only after independently area-normalizing both factors, or for a consumer that explicitly declares a quotient/invariance under independent positive factor scalings; capacity/sys equivalence remains separately theorem-gated
simultaneous-common-factor-rotation	product QxP and (RQ)x(RP) under the same planar rotation R	pointwise_orbit	R in SO(2); product coordinates (q1,q2,p1,p2)	diag(R,R), a symplectic orthogonal map	not_applicable	zero	zero	zero	zero	zero	zero	zero	proved_matrix_identity	experiments/sys-datascience/methods/alternative-generator-smoke/README.md: common planar rotation gauge | experiments/sys-datascience/methods/generator-orientation-smoke/main.rs and README.md: matrix convention and symplectic controls	exact rational signed-permutation rotation	pass	pass: A^T A=I and A^T J A=J with Gram controls	collapse simultaneous common-rotation arms in target-free symplectic-orbit/feature coverage
one-factor-only-rotation-negative-control	product QxP and (RQ)xP for nontrivial R	not_equivalent	generic factors; R is a quarter turn; do not confuse common and relative rotation	diag(R,I2), which is orthogonal but not symplectic in (q1,q2,p1,p2) order	not_applicable	zero	zero	zero	nonzero	nonzero	zero	nonzero	proved_matrix_counterexample	experiments/sys-datascience/methods/alternative-generator-smoke/README.md: relative factor rotation remains explicit | experiments/sys-datascience/methods/generator-orientation-smoke/README.md: Euclidean versus symplectic semantics	exact rational	negative_control_pass	negative_control_pass: A^T J A differs from J; a cross-factor omega entry and its absolute value change, while Euclidean/area/volume normalization controls stay fixed	never collapse relative-rotation arms as common gauge
four-facet-broken-pairs-width-control	two independent opposite support pairs (four sides) and symmetric strips with the same two widths	pointwise_orbit	two linearly independent normal directions; all four supports positive and facets active	translate by -t, where u_i dot t=(h_i^+-h_i^-)/2 for i=1,2	nonzero	zero	zero	zero	not_applicable	not_applicable	zero	not_applicable	proved_linear_translation_system	experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: antipodal_broken_and_control width matching | experiments/sys-datascience/methods/alternative-generator-smoke/README.md: paired broken/control law	exact rational	pass	pass: exact translation solves both support differences and translated halfspaces equal the symmetric control	collapse four-facet broken/control factor arms up to translation
six-facet-broken-pairs-not-generally-translation	three broken opposite support pairs (six sides) and width-matched symmetric strips	not_equivalent	three normal directions spanning R2; all six supports positive and all facets active	candidate translation must solve three equations u_i dot t=(h_i^+-h_i^-)/2 in two unknowns	nonzero	nonzero	zero	nonzero	not_applicable	not_applicable	nonzero	not_applicable	proved_overdetermined_counterexample	experiments/sys-datascience/methods/alternative-generator-smoke/main.rs: antipodal_broken_and_control and six-side availability	exact rational	negative_control_pass	negative_control_pass: active six-sided witness violates the third translation equation	do not collapse six-or-more-side broken/control arms without solving every translation equation
